,НД,Значение,Единица измерения,Примечание,м² / Па / сек. (ГОСТ 8973)
0,ИД: ПВХ 1,0.198,milliliter / day / meter / pascal,,2.291666666666667e-12
1,ИД: ПВХ 2,3.1000000000000006e-08,milliliter / day / meter / pascal,,3.587962962962964e-19
2,ИД: Максимум по ГОСТ 23553,2e-12,meter / pascal / second,Перевод в единицы по ГОСТ 8973 при толщине 0.7 millimeter,1.3999999999999999e-15
3,М1 ГОСТ 8973,0.02,meter ** 2 / pascal / second,,0.02
4,М1 ГОСТ 23553,28.571428571428573,meter / pascal / second,"Соответсвует значению по ГОСТ 8973 при толщине 0.7 millimeter. Значение намного !!! больше, чем допускает ГОСТ 23553 (2*10**(-12) м/(Па * сек.)). Единица измерения как у скорости проникновения газов в ГОСТ Р 53656 (GTR)",0.02
5,М1 ГОСТ Р 53656,0.83,mole / meter / pascal / second,Соответствует значению по ГОСТ 8973 при нормальных условиях,
6,М1 ГОСТ Р 53656 (доп),1.75e+17,centimeter ** 3 * millimeter / day / meter ** 2 / standard_atmosphere,Соответствует значению по ГОСТ 8973,0.020000000000000004
7,М2 ГОСТ 8973,1.5619909583037674e-14,meter ** 2 / pascal / second,,1.5619909583037674e-14
8,М2 ГОСТ 23553,2.2314156547196674e-11,meter / pascal / second,,1.561990958303767e-14
9,М2 ГОСТ Р 53656,6.5e-13,mole / meter / pascal / second,Соответствует значению по ГОСТ 8973 при нормальных условиях,
